timestamp_ms,monotonic_ts,pressure
1779243757452,597771.714546,32
1779243757473,597771.734809,32
1779243757493,597771.755134,32
1779243757514,597771.776145,33
1779243757529,597771.791424,33
1779243757551,597771.813259,33
1779243757572,597771.834057,31
1779243757592,597771.854347,31
1779243757614,597771.876039,31
1779243757635,597771.897445,31
1779243757651,597771.912661,31
1779243757673,597771.935223,31
1779243757693,597771.955579,32
1779243757710,597771.971913,31
1779243757730,597771.992193,30
1779243757750,597772.012458,29
1779243757771,597772.032874,30
1779243757791,597772.053216,30
1779243757811,597772.073566,30
1779243757832,597772.093982,30
1779243757852,597772.114293,31
1779243757872,597772.134581,31
1779243757893,597772.154847,33
1779243757913,597772.175097,34
1779243757933,597772.195355,39
1779243757948,597772.210551,35
1779243757969,597772.230789,36
1779243757989,597772.251055,36
1779243758009,597772.271310,39
1779243758029,597772.291583,35
1779243758050,597772.311884,35
1779243758070,597772.332186,36
1779243758092,597772.353686,37
1779243758112,597772.373921,37
1779243758129,597772.391027,37
1779243758149,597772.411307,36
1779243758171,597772.432772,40
1779243758191,597772.453053,38
1779243758211,597772.473344,40
1779243758228,597772.490460,41
1779243758249,597772.510750,44
1779243758270,597772.532096,44
1779243758290,597772.552355,44
1779243758310,597772.572593,44
1779243758331,597772.592856,44
1779243758351,597772.613304,45
1779243758372,597772.633647,45
1779243758392,597772.654054,44
1779243758407,597772.669351,41
1779243758428,597772.689649,48
1779243758448,597772.709954,44
1779243758468,597772.730232,43
1779243758490,597772.751970,43
1779243758511,597772.773461,42
1779243758532,597772.793786,44
1779243758547,597772.809540,44
1779243758568,597772.829859,45
1779243758589,597772.850826,51
1779243758610,597772.871973,47
1779243758630,597772.892251,49
1779243758650,597772.912545,49
1779243758671,597772.932815,48
1779243758691,597772.953077,52
1779243758706,597772.968308,50
1779243758726,597772.988600,51
1779243758747,597773.009189,56
1779243758768,597773.030440,54
1779243758790,597773.051655,55
1779243758811,597773.072663,55
1779243758826,597773.087872,55
1779243758846,597773.108217,55
1779243758866,597773.128524,58
1779243758887,597773.148808,55
1779243758907,597773.169143,55
1779243758927,597773.189399,57
1779243758948,597773.209668,57
1779243758968,597773.229920,56
1779243758988,597773.250186,56
1779243759008,597773.270457,57
1779243759029,597773.291386,57
1779243759050,597773.312190,56
1779243759066,597773.328335,65
1779243759088,597773.349807,55
1779243759108,597773.370113,54
1779243759128,597773.390406,54
1779243759149,597773.410701,57
1779243759169,597773.431186,56
1779243759185,597773.446729,56
1779243759205,597773.467036,56
1779243759225,597773.487313,57
1779243759245,597773.507588,57
1779243759266,597773.527879,58
1779243759286,597773.548161,56
1779243759306,597773.568442,57
1779243759327,597773.588734,59
1779243759347,597773.609019,60
1779243759368,597773.630486,60
1779243759385,597773.646970,61
1779243759405,597773.667376,62
1779243759426,597773.687665,61
1779243759446,597773.707914,62
1779243759467,597773.729533,64
1779243759488,597773.749871,63
1779243759508,597773.770193,64
1779243759528,597773.790464,64
1779243759549,597773.810744,64
1779243759569,597773.831009,63
1779243759584,597773.846225,62
1779243759604,597773.866530,63
1779243759625,597773.887466,63
1779243759646,597773.907740,62
1779243759666,597773.928067,63
1779243759686,597773.948329,63
1779243759706,597773.968576,64
1779243759727,597773.988845,64
1779243759747,597774.009131,64
1779243759768,597774.030248,64
1779243759784,597774.045941,65
1779243759805,597774.067114,65
1779243759825,597774.087386,65
1779243759846,597774.107660,64
1779243759866,597774.127923,65
1779243759886,597774.148158,65
1779243759906,597774.168427,65
1779243759927,597774.188812,66
1779243759963,597774.225138,66
1779243759983,597774.245453,67
1779243760004,597774.266423,66
1779243760025,597774.286732,66
